('BAG1', 'MMP11', -0.03946045693567992)
('BAG1', 'MYC', -0.06163143642206857)
('BAG1', 'NAT1', 0.2923786491213777)
('BAG1', 'NDC80', -0.2601778410430244)
('BAG1', 'NUF2', -0.27169770009682664)
('BAG1', 'PGR', 0.37918135902527483)
('BAG1', 'PHGDH', -0.26429007271743166)
('BAG1', 'RRM2', -0.27402669302895344)
('BAG1', 'SFRP1', -0.03510176505431822)
('BAG1', 'SLC39A6', 0.4011833543270397)
('BAG1', 'TYMS', -0.23726497379924372)
('BAG1', 'UBE2C', -0.26850565306574703)
('BAG1', 'UBE2T', -0.2458407194830546)
('BCL2', 'ACTR3B', nan)
('BCL2', 'ANLN', nan)
('BCL2', 'BAG1', nan)
('BCL2', 'BCL2', nan)
('BCL2', 'BIRC5', nan)
('BCL2', 'BLVRA', nan)
('BCL2', 'CCNB1', nan)
('BCL2', 'CCNE1', nan)
('BCL2', 'CDC20', nan)
('BCL2', 'CDH3', nan)
('BCL2', 'CENPF', nan)
('BCL2', 'CEP55', nan)
('BCL2', 'CXXC5', nan)
('BCL2', 'EGFR', nan)
('BCL2', 'ERBB2', nan)
('BCL2', 'ESR1', nan)
('BCL2', 'EXO1', nan)
('BCL2', 'FGFR4', nan)
('BCL2', 'FOXA1', nan)
('BCL2', 'FOXC1', nan)
('BCL2', 'GRB7', nan)
('BCL2', 'KIF2C', nan)
('BCL2', 'KRT14', nan)
('BCL2', 'KRT17', nan)
('BCL2', 'KRT5', nan)
('BCL2', 'MAPT', nan)
('BCL2', 'MELK', nan)
('BCL2', 'MKI67', nan)
('BCL2', 'MLPH', nan)
('BCL2', 'MMP11', nan)
('BCL2', 'MYC', nan)
('BCL2', 'NAT1', nan)
('BCL2', 'NDC80', nan)
('BCL2', 'NUF2', nan)
('BCL2', 'PGR', nan)
('BCL2', 'PHGDH', nan)
('BCL2', 'RRM2', nan)
('BCL2', 'SFRP1', nan)
('BCL2', 'SLC39A6', nan)
('BCL2', 'TYMS', nan)
('BCL2', 'UBE2C', nan)
('BCL2', 'UBE2T', nan)
('BIRC5', 'ACTR3B', nan)
('BIRC5', 'ANLN', nan)
('BIRC5', 'BAG1', nan)
('BIRC5', 'BCL2', nan)
('BIRC5', 'BIRC5', nan)
('BIRC5', 'BLVRA', nan)
('BIRC5', 'CCNB1', nan)
('BIRC5', 'CCNE1', nan)
('BIRC5', 'CDC20', nan)
('BIRC5', 'CDH3', nan)
('BIRC5', 'CENPF', nan)
('BIRC5', 'CEP55', nan)
('BIRC5', 'CXXC5', nan)
('BIRC5', 'EGFR', nan)
