,gene_P,gene_R,corr,cor
826,C9orf117,KLF3,-0.615296502,>0.6
3004,LRRC14B,ZFYVE27,-0.61531178,>0.6
223,ALS2CR12,PIK3R1,-0.615423422,>0.6
529,BCL2L11,CD151,-0.615433494,>0.6
966,CCDC73,RAB11FIP3,-0.615466397,>0.6
4969,SLIT1,MMP8,-0.615576241,>0.6
5064,SPATA2,KIAA1715,-0.615647283,>0.6
3519,NEK5,DOPEY1,-0.615703089,>0.6
3641,NTRK3,GTF2I,-0.615799215,>0.6
2666,JHDM1D,PHF20,-0.615807683,>0.6
1515,DDR2,ETFA,-0.615834276,>0.6
142,ADCY9,ATP8A2,-0.615834656,>0.6
1839,ERN1,DOPEY1,-0.615880619,>0.6
3626,NTRK1,ATF2,-0.615884253,>0.6
651,BNIP3,KIFAP3,-0.615896238,>0.6
1058,CDNF,HOXB9,-0.615919788,>0.6
861,CACNA1I,SCN7A,-0.6159519,>0.6
453,ATXN7,ZBED4,-0.616079965,>0.6
1129,CHRDL1,CCDC22,-0.616158489,>0.6
2881,LCA5,ERLIN1,-0.616163919,>0.6
824,C9orf117,GOLIM4,-0.616237548,>0.6
3651,NUFIP1,MTX3,-0.61634392,>0.6
5241,TBC1D14,UNC80,-0.616348103,>0.6
341,ARMC2,RFXANK,-0.616409451,>0.6
4837,SLC25A14,LRRC8E,-0.616427734,>0.6
5360,TLR6,PCDHGC5,-0.616467988,>0.6
1753,EME1,UNC80,-0.6165319,>0.6
1289,CMTM6,CXXC1,-0.616615043,>0.6
5405,TMEM223,KRIT1,-0.616637325,>0.6
516,BCL11B,SYMPK,-0.61667574,>0.6
3650,NUFIP1,EIF4B,-0.616728808,>0.6
466,B4GALNT4,INTS7,-0.616797424,>0.6
1669,EBF1,GRM5,-0.616809191,>0.6
4294,RBL1,REST,-0.616811707,>0.6
6134,ZSCAN21,ATP13A5,-0.616840773,>0.6
1862,ERN1,PKD1,-0.617070078,>0.6
3987,PLA2G4C,SLC11A2,-0.617093835,>0.6
906,CBFA2T3,MRPL27,-0.617145256,>0.6
3535,NHS,CDR1,-0.617156897,>0.6
816,C7orf63,WDR34,-0.617178241,>0.6
4451,ROR2,ZDHHC5,-0.617195193,>0.6
2333,GRHL3,LIN7A,-0.617199953,>0.6
2564,IGSF9,C5orf24,-0.617205517,>0.6
2849,KLHL5,ZKSCAN1,-0.617292602,>0.6
3115,MATN1,SLC2A3,-0.617361472,>0.6
480,B9D1,NOP10,-0.617411453,>0.6
1869,ERN1,TAF1L,-0.617424249,>0.6
573,BCL2L11,REEP3,-0.617452103,>0.6
1842,ERN1,FAM178A,-0.617525276,>0.6
310,ARHGAP20,PTPLB,-0.617555328,>0.6
3867,PER1,AMBRA1,-0.617599946,>0.6
4932,SLC29A1,FLT3,-0.61767297,>0.6
940,CCDC152,ZC3HAV1,-0.61769732,>0.6
1695,EEF1D,C7orf63,-0.617703937,>0.6
1861,ERN1,PBRM1,-0.617713138,>0.6
1245,CIITA,WDR36,-0.617732897,>0.6
575,BCL2L11,RPL7A,-0.617766739,>0.6
5063,SPATA2,CLOCK,-0.617778135,>0.6
540,BCL2L11,DPAGT1,-0.617839481,>0.6
4847,SLC25A23,GRIK5,-0.617900919,>0.6
3861,PDSS1,FOXA3,-0.617916313,>0.6
2575,IGSF9,MAPK8,-0.618066777,>0.6
1871,ERN1,TRPM7,-0.618075734,>0.6
1586,DMWD,TADA1,-0.618133612,>0.6
5019,SNRK,UNC80,-0.618139636,>0.6
1859,ERN1,NKTR,-0.618264327,>0.6
1151,CHRDL1,GAS8,-0.618266307,>0.6
586,BCL2L11,STT3A,-0.618660116,>0.6
4338,RFESD,TRIAP1,-0.618665041,>0.6
5120,SRP19,CTAGE6,-0.618679927,>0.6
278,AP2B1,GPLD1,-0.618749591,>0.6
4379,RIMBP3,ESYT2,-0.618773689,>0.6
143,ADCY9,BGN,-0.618901843,>0.6
1904,ETV7,DDX3X,-0.619032831,>0.6
4611,SCARA3,COMMD7,-0.619242538,>0.6
1361,COX8A,GAL3ST1,-0.619255125,>0.6
5315,TFPT,STXBP5L,-0.619272341,>0.6
2137,FOXA3,ST3GAL6,-0.619426157,>0.6
6147,ZYG11A,MAGT1,-0.619633017,>0.6
4710,SERHL2,ZNF629,-0.619790588,>0.6
5493,TOPORS,ABL1,-0.619801009,>0.6
3888,PEX16,TPH1,-0.619832311,>0.6
3751,PARD6A,SCG3,-0.619876369,>0.6
3691,OSMR,RPL12,-0.619895285,>0.6
139,ADCY9,ADAMTS7,-0.619895918,>0.6
5780,WRB,IGF2R,-0.619938253,>0.6
399,ATP10A,NUPL1,-0.619976373,>0.6
3753,PARD6A,SH3BP2,-0.619993384,>0.6
5876,ZDHHC21,SAMD11,-0.620059822,>0.6
2560,IGSF9,AFF4,-0.620163771,>0.6
658,BNIP3,PTPRG,-0.620223711,>0.6
5004,SNAPC1,HNRNPM,-0.620248222,>0.6
648,BNIP3,FHOD3,-0.620334927,>0.6
2817,KL,U2AF1L4,-0.620359028,>0.6
5068,SPATA6,PADI3,-0.620375218,>0.6
4857,SLC25A46,ACADL,-0.620411552,>0.6
1560,DIXDC1,APOB,-0.620477383,>0.6
4142,PRX,HSPB7,-0.620506949,>0.6
1246,CIITA,ZNF33A,-0.620670968,>0.6
189,AKAP6,FAM8A1,-0.620724285,>0.6
3791,PCDHB11,ZDHHC8,-0.620755654,>0.6
2025,FANCB,NCBP1,-0.620781114,>0.6
4794,SIGLEC11,MTRF1L,-0.62078436,>0.6
2032,FANCB,SRP72,-0.620858881,>0.6
3591,NRXN1,DGCR8,-0.620883381,>0.6
2906,LIFR,TP53RK,-0.620885365,>0.6
147,ADCY9,GPC6,-0.620950036,>0.6
2131,FOXA3,MYLK4,-0.621037145,>0.6
2395,GYPC,OBFC1,-0.621125254,>0.6
3609,NT5C1B,C10orf137,-0.621129919,>0.6
569,BCL2L11,PNKD,-0.621131505,>0.6
967,CCDC73,TAOK2,-0.621149902,>0.6
1850,ERN1,LCA5,-0.621206608,>0.6
3878,PEX16,ASPM,-0.621253755,>0.6
2344,GRIN1,FREM2,-0.62125982,>0.6
3906,PGBD5,HOXB7,-0.621315117,>0.6
4878,SLC25A46,MYLK3,-0.621339673,>0.6
484,B9D1,TMEM86A,-0.621402207,>0.6
1450,CUBN,LARP4,-0.621518032,>0.6
1520,DDR2,SFXN4,-0.621541846,>0.6
148,ADCY9,KIF26B,-0.621585941,>0.6
691,BUB1,AGBL3,-0.621591397,>0.6
2167,FUT10,BUB3,-0.621637423,>0.6
1543,DFNB31,KIAA1328,-0.621677938,>0.6
464,B3GNT4,PPIG,-0.621718671,>0.6
3044,LRTOMT,YLPM1,-0.621726493,>0.6
1889,ESPL1,ZNF160,-0.621817307,>0.6
5792,WSB2,ZFHX3,-0.621889378,>0.6
4247,RAD51C,ZNF595,-0.621942792,>0.6
1887,ESPL1,TTC12,-0.622046179,>0.6
2923,LINGO4,CNNM2,-0.622057207,>0.6
4860,SLC25A46,BFSP1,-0.62209344,>0.6
904,CBFA2T3,LEO1,-0.62210302,>0.6
643,BNIP3,CCDC8,-0.622225978,>0.6
48,ABHD13,MCOLN1,-0.622232183,>0.6
5867,ZDHHC21,BUB1,-0.62223586,>0.6
1075,CDT1,SCAPER,-0.622273904,>0.6
3913,PGBD5,ST3GAL6,-0.622307627,>0.6
1517,DDR2,MRPS6,-0.622313273,>0.6
3737,PARD6A,INA,-0.62237538,>0.6
2662,JHDM1D,ADCY6,-0.622383757,>0.6
1243,CIITA,VAMP4,-0.622395068,>0.6
572,BCL2L11,RAC3,-0.622474204,>0.6
2028,FANCB,RNF20,-0.622479004,>0.6
596,BCL2L11,YIF1A,-0.622504919,>0.6
2320,GRAMD3,ARL6IP6,-0.622633901,>0.6
1864,ERN1,PUM1,-0.622666686,>0.6
4562,RRAD,WDR65,-0.622751719,>0.6
3201,MIER2,TMEM110,-0.622782244,>0.6
843,C9orf84,KCTD16,-0.622796151,>0.6
1844,ERN1,GREM2,-0.622946711,>0.6
5443,TMEM66,PGAM4,-0.622956944,>0.6
376,ARSH,KCNJ13,-0.62298012,>0.6
4781,SHQ1,ZNF365,-0.623093773,>0.6
800,C6orf136,CLEC4F,-0.623128299,>0.6
2117,FOXA3,ANKRD11,-0.623296469,>0.6
5769,WHAMM,UNC80,-0.623357503,>0.6
544,BCL2L11,FBXW5,-0.623399573,>0.6
1769,ENTHD1,COX7C,-0.623429251,>0.6
5271,TEKT2,SF1,-0.623491773,>0.6
1008,CD300LB,MAK,-0.623545179,>0.6
692,BUB1,BEND5,-0.623553186,>0.6
4650,SCN7A,MORC4,-0.62357536,>0.6
1829,ERN1,ATF7,-0.623629593,>0.6
1765,ENTHD1,ARV1,-0.623649892,>0.6
4793,SIGLEC11,LMBRD2,-0.623655509,>0.6
697,BUB1,SIPA1L1,-0.623701247,>0.6
3195,MIER2,HOXD4,-0.623721084,>0.6
4742,SETDB2,PIGO,-0.623777485,>0.6
1237,CIITA,SLC30A5,-0.623808566,>0.6
4323,RECK,ZNF77,-0.62380989,>0.6
4141,PRX,HSF2,-0.623848113,>0.6
4145,PRX,PTN,-0.623912708,>0.6
3192,MIER2,DNAH1,-0.624195775,>0.6
1919,EXO1,PI4KA,-0.624220647,>0.6
3848,PDE8A,SNAPIN,-0.624233801,>0.6
1229,CIITA,KIAA0355,-0.62432524,>0.6
3014,LRRC16B,YME1L1,-0.624350215,>0.6
1439,CUBN,C5orf54,-0.62451224,>0.6
4319,RECK,ATP9A,-0.624529029,>0.6
6045,ZNF57,NACC2,-0.624531675,>0.6
2574,IGSF9,KLHL11,-0.624573684,>0.6
1074,CDT1,PHLPP1,-0.62467526,>0.6
5782,WRB,PTPRU,-0.624767479,>0.6
2287,GPR113,BTRC,-0.624991126,>0.6
4858,SLC25A46,AGT,-0.62500061,>0.6
3350,MTMR8,FAM8A1,-0.625214916,>0.6
2383,GYLTL1B,DCX,-0.625216557,>0.6
3902,PGBD5,CDR1,-0.62523705,>0.6
99,ADAM12,ALKBH3,-0.625342756,>0.6
514,BCL11B,RSAD1,-0.625347976,>0.6
1146,CHRDL1,EBP,-0.625520341,>0.6
4246,RAD51C,TP53RK,-0.625751767,>0.6
534,BCL2L11,COX8A,-0.625831801,>0.6
4792,SIGLEC11,LDB3,-0.625939395,>0.6
5074,SPATA6,ZNF646,-0.625955419,>0.6
1392,CRIM1,MCM8,-0.626124361,>0.6
1446,CUBN,EMB,-0.62619111,>0.6
3909,PGBD5,POU2F3,-0.626213596,>0.6
1899,ESRRB,ZNF624,-0.62638132,>0.6
2674,JPH2,ZBTB48,-0.626429619,>0.6
1018,CD8B,UNC80,-0.62643198,>0.6
1878,ESCO2,LRPPRC,-0.626539688,>0.6
4923,SLC27A6,MPHOSPH6,-0.626600683,>0.6
1157,CHRDL1,IRX3,-0.626626076,>0.6
3193,MIER2,EP400,-0.626641371,>0.6
4439,ROBO3,NAPB,-0.626647277,>0.6
2534,ICOSLG,DIS3L,-0.626663952,>0.6
3379,MYC,KIAA1715,-0.626707073,>0.6
259,ANKRD31,FOXA3,-0.626756535,>0.6
1802,EPHX4,GPC6,-0.626821137,>0.6
1836,ERN1,CREBBP,-0.626903698,>0.6
1511,DDR2,ATP5O,-0.626998307,>0.6
4951,SLC38A1,UTP6,-0.627025786,>0.6
3114,MATN1,SERPINE1,-0.62703817,>0.6
3335,MTERFD3,CHMP2B,-0.627097679,>0.6
1827,ERN1,AFF4,-0.627132551,>0.6
2905,LIFR,SPATA2,-0.62717772,>0.6
4797,SIGLEC11,PTPRG,-0.627298921,>0.6
1510,DDR2,ATP5L,-0.627365996,>0.6
1396,CRIM1,RBL1,-0.627383452,>0.6
3903,PGBD5,CFL2,-0.627519496,>0.6
20,ABCA8,ZNF280D,-0.627580694,>0.6
309,ARHGAP20,LPP,-0.627611742,>0.6
1890,ESPL1,ZNF804A,-0.627816272,>0.6
5008,SNAPC3,ZDHHC5,-0.627910834,>0.6
2995,LRP11,RNF185,-0.62794602,>0.6
1866,ERN1,SLK,-0.627972924,>0.6
2791,KL,FOXP3,-0.627975385,>0.6
2171,FUT10,MRPS27,-0.628169945,>0.6
810,C7orf63,GAS2L1,-0.628251768,>0.6
2511,HS6ST2,SUMO4,-0.628256222,>0.6
744,C19orf55,BANP,-0.628266201,>0.6
5006,SNAPC3,PTTG1IP,-0.628467293,>0.6
1749,EMB,MSL1,-0.628543831,>0.6
2583,IGSF9,SHPRH,-0.628630905,>0.6
5032,SNX14,RORC,-0.628667421,>0.6
1828,ERN1,AOX1,-0.62873392,>0.6
3425,MYOM2,C4BPB,-0.628741698,>0.6
5868,ZDHHC21,CDCA5,-0.628795196,>0.6
3187,MIER2,CCDC121,-0.628818254,>0.6
3694,OSMR,RPL7A,-0.628863684,>0.6
3196,MIER2,KLHL15,-0.628867659,>0.6
3960,PIK3C2G,SREBF2,-0.628915433,>0.6
1585,DMWD,PIK3R1,-0.628996453,>0.6
141,ADCY9,AGT,-0.629021087,>0.6
4632,SCG5,PDS5B,-0.62911666,>0.6
3787,PCDHB11,NYNRIN,-0.629159397,>0.6
3590,NRXN1,CYTH2,-0.629198443,>0.6
4635,SCG5,TROVE2,-0.629248404,>0.6
3750,PARD6A,RCBTB2,-0.62925632,>0.6
4634,SCG5,TADA1,-0.629311478,>0.6
153,ADCY9,SCG2,-0.629429571,>0.6
5303,TET1,ZNF774,-0.629473577,>0.6
4436,ROBO3,ELAVL4,-0.629619256,>0.6
2671,JPH2,AP4S1,-0.62963713,>0.6
4889,SLC25A46,PSMD3,-0.629657058,>0.6
41,ABHD12B,SH3BP5L,-0.629734739,>0.6
566,BCL2L11,PCDHB11,-0.629793737,>0.6
1240,CIITA,THOC2,-0.629851273,>0.6
2798,KL,NKAPL,-0.629896821,>0.6
1012,CD300LB,RPS4X,-0.629987544,>0.6
577,BCL2L11,SAMM50,-0.630015586,>0.6
1131,CHRDL1,CCDC9,-0.630139228,>0.6
2128,FOXA3,KCMF1,-0.630144575,>0.6
5628,TYROBP,MED31,-0.630162255,>0.6
5302,TET1,TIAM1,-0.630231075,>0.6
1775,ENTHD1,JTB,-0.630266569,>0.6
188,AKAP6,DIXDC1,-0.630338189,>0.6
768,C21orf2,TMEM63B,-0.630410012,>0.6
2047,FASTK,RPL39,-0.630618031,>0.6
937,CCDC152,LARP4,-0.630700249,>0.6
2024,FANCB,MORC4,-0.630755928,>0.6
2127,FOXA3,IFFO2,-0.63089053,>0.6
6039,ZNF57,CLCN3,-0.630915308,>0.6
3724,PARD6A,ABCC10,-0.631062251,>0.6
4385,RIMKLB,BIRC3,-0.631114277,>0.6
4387,RIMKLB,LILRB1,-0.631140389,>0.6
4140,PRX,HOXA4,-0.631216214,>0.6
645,BNIP3,DNAJC6,-0.631274481,>0.6
4597,SATB1,BUB3,-0.631284495,>0.6
832,C9orf117,YIPF5,-0.631393851,>0.6
3594,NRXN1,LDLR,-0.631406985,>0.6
4557,RRAD,GDE1,-0.63153557,>0.6
801,C6orf136,ENPEP,-0.631632852,>0.6
1187,CHRDL1,REM2,-0.631656141,>0.6
3339,MTMR11,LONRF2,-0.631687447,>0.6
2384,GYLTL1B,ELAVL4,-0.631796577,>0.6
3233,MLX,RPS23,-0.631802204,>0.6
2157,FSIP1,CCDC78,-0.631913163,>0.6
473,B9D1,C1orf52,-0.631955589,>0.6
656,BNIP3,PAPPA,-0.632128862,>0.6
4963,SLC9A9,ZNF57,-0.6321326,>0.6
2587,IGSF9,ZNF836,-0.632134396,>0.6
1225,CIITA,EPC1,-0.632145812,>0.6
3203,MIER2,ZNF445,-0.632222731,>0.6
2824,KL,ZNF98,-0.63223256,>0.6
4725,SERPINA9,ZNF77,-0.632414434,>0.6
4790,SIGLEC11,GPC6,-0.632488831,>0.6
169,AGBL3,SSR2,-0.632689247,>0.6
2398,GYPC,ZNF445,-0.63272781,>0.6
5849,ZCCHC14,PTAR1,-0.632772939,>0.6
829,C9orf117,PPP2CB,-0.632779342,>0.6
3384,MYC,PAFAH1B2,-0.632874969,>0.6
6139,ZYG11A,BRCA2,-0.632923643,>0.6
654,BNIP3,NAV3,-0.632955506,>0.6
4703,SERHL2,CDNF,-0.632990607,>0.6
2323,GRAMD3,FEM1A,-0.633065673,>0.6
1758,ENOX2,C19orf55,-0.633260665,>0.6
5283,TESK1,FBXO28,-0.633417193,>0.6
4770,SH3TC2,PTPDC1,-0.633581626,>0.6
5917,ZMYM5,NSD1,-0.633672246,>0.6
1401,CRIM1,ZBTB11,-0.63376071,>0.6
5497,TOPORS,MIER2,-0.633834305,>0.6
1219,CIITA,ASH1L,-0.633851598,>0.6
1867,ERN1,SP1,-0.633863238,>0.6
2247,GLT8D2,CPSF4,-0.633888224,>0.6
43,ABHD13,ATRNL1,-0.634123544,>0.6
2115,FOXA3,ABCA13,-0.634191816,>0.6
5242,TBC1D14,ZBED4,-0.634259193,>0.6
5305,TET3,SREBF2,-0.634344417,>0.6
4447,ROR1,TTC3,-0.634568722,>0.6
1094,CEP70,SKIL,-0.634780935,>0.6
4960,SLC9A9,ASTN2,-0.634933678,>0.6
1490,DCHS2,APOC2,-0.634965835,>0.6
3786,PCDHB11,NIPSNAP3B,-0.635006641,>0.6
3727,PARD6A,ARL2,-0.635118637,>0.6
2010,FAM92A1,FBN2,-0.635148195,>0.6
649,BNIP3,GRAMD3,-0.635228105,>0.6
3374,MYC,ATL3,-0.635228184,>0.6
54,ABHD13,SMURF2,-0.635235308,>0.6
3796,PCDHB15,MTERFD3,-0.635382637,>0.6
1186,CHRDL1,RBM23,-0.635406114,>0.6
5134,SRRM5,PKNOX1,-0.635416734,>0.6
510,BCL11B,GGNBP2,-0.635537119,>0.6
2017,FANCB,BRPF3,-0.635569086,>0.6
3587,NRG2,TMEM159,-0.635654874,>0.6
825,C9orf117,KIF26B,-0.635714027,>0.6
6049,ZNF57,SMC1A,-0.635716795,>0.6
2037,FANCB,USP38,-0.63584993,>0.6
4900,SLC25A46,SRD5A3,-0.635874496,>0.6
340,ARMC2,PELP1,-0.635913466,>0.6
1313,CNTNAP1,TRAPPC2L,-0.63602669,>0.6
3765,PARP16,LRRCC1,-0.636048917,>0.6
2818,KL,UBASH3A,-0.636168432,>0.6
508,BCL11B,C19orf55,-0.63616887,>0.6
506,BCL11B,ATP8A2,-0.636223077,>0.6
815,C7orf63,UQCRFS1,-0.636227758,>0.6
3918,PGBD5,ZSCAN12,-0.63623457,>0.6
461,AXL,RTTN,-0.636280093,>0.6
1488,DCAF15,NDUFV3,-0.636296733,>0.6
4636,SCG5,ZDHHC20,-0.636327608,>0.6
2793,KL,JAK3,-0.636342662,>0.6
2381,GYLTL1B,BUB3,-0.636353709,>0.6
2307,GPRASP2,PRPF40A,-0.636521126,>0.6
2250,GLT8D2,EXOSC7,-0.636550049,>0.6
1966,FAM13C,MED13,-0.636575518,>0.6
4941,SLC30A6,TEX11,-0.636639267,>0.6
3730,PARD6A,FAM13C,-0.636726621,>0.6
1125,CHRDL1,C11orf57,-0.637032927,>0.6
5987,ZNF394,ZNF451,-0.637074388,>0.6
1781,ENTHD1,SSR2,-0.637082207,>0.6
2691,KCNB2,ATL3,-0.63739787,>0.6
3800,PCDHB4,ADRBK2,-0.63748846,>0.6
1834,ERN1,CHD4,-0.637711403,>0.6
2289,GPR113,HP,-0.637746235,>0.6
695,BUB1,PLXNB1,-0.637752479,>0.6
5295,TET1,DNAH10,-0.638226229,>0.6
2049,FASTKD2,LAMB2,-0.63824308,>0.6
4904,SLC25A46,TIMM8B,-0.638246251,>0.6
2334,GRHL3,NLK,-0.638262703,>0.6
1837,ERN1,CSNK1G1,-0.638330342,>0.6
787,C2orf72,ZDHHC2,-0.638350261,>0.6
897,CATSPER2,NFRKB,-0.638612379,>0.6
580,BCL2L11,SEC61B,-0.639153203,>0.6
4148,PRX,UNC80,-0.639214788,>0.6
718,C12orf65,MYL6,-0.639215767,>0.6
1846,ERN1,HERC1,-0.639253301,>0.6
3600,NRXN1,SCAF1,-0.639354693,>0.6
1848,ERN1,LAMB2,-0.639375928,>0.6
152,ADCY9,SCARF2,-0.639516436,>0.6
3008,LRRC16B,EHF,-0.639776543,>0.6
525,BCL2L11,C9orf142,-0.639850949,>0.6
2586,IGSF9,TRIM23,-0.640053877,>0.6
1782,ENTHD1,TMED10,-0.640069402,>0.6
5091,SPOCD1,KDM1B,-0.640076328,>0.6
4558,RRAD,HOXD4,-0.640155958,>0.6
4767,SH3RF3,MEFV,-0.640307812,>0.6
1458,CUBN,VPS13B,-0.640344754,>0.6
3700,OTUD1,LACE1,-0.64043532,>0.6
3732,PARD6A,FAM89B,-0.64045047,>0.6
1312,CNTNAP1,NUP43,-0.640935403,>0.6
2578,IGSF9,PJA2,-0.641049033,>0.6
3426,MYOM2,IL17RA,-0.641207516,>0.6
4922,SLC27A6,MORC4,-0.641243783,>0.6
659,BNIP3,WWC2,-0.641253959,>0.6
1441,CUBN,CANX,-0.64131641,>0.6
2816,KL,TRIM69,-0.641320284,>0.6
1119,CHRDL1,ANKRD30B,-0.641373496,>0.6
77,ACOX2,NUP43,-0.641560466,>0.6
5391,TMEM159,BNIP3,-0.641568016,>0.6
4959,SLC9A9,ABCA2,-0.641611429,>0.6
3356,MTMR8,POLR3A,-0.642005542,>0.6
3912,PGBD5,SH3TC2,-0.642153748,>0.6
6054,ZNF57,UBN1,-0.64220827,>0.6
3411,MYO15A,NME6,-0.64221072,>0.6
2842,KLHL15,FBXL17,-0.642249527,>0.6
19,ABCA8,WHAMM,-0.642407175,>0.6
3312,MRPS27,MYO3A,-0.642515573,>0.6
646,BNIP3,DSEL,-0.642584182,>0.6
1031,CDCA7L,KCNMA1,-0.642598436,>0.6
1309,CNTNAP1,LDHC,-0.642734637,>0.6
4196,PTPRT,ZNF543,-0.642824618,>0.6
2392,GYPC,KIAA1328,-0.64287883,>0.6
4286,RBL1,FAM63B,-0.642994147,>0.6
1897,ESRRB,PLXNB1,-0.643108005,>0.6
4704,SERHL2,CES2,-0.643143211,>0.6
6154,ZYG11A,UBXN2A,-0.643157712,>0.6
986,CCNG1,CEP57,-0.643185438,>0.6
1863,ERN1,PRICKLE2,-0.643249291,>0.6
5467,TMOD4,RSAD1,-0.643429734,>0.6
1905,ETV7,DHX33,-0.643457803,>0.6
173,AGBL4,CTCF,-0.643522558,>0.6
3243,MNX1,ACCS,-0.643538703,>0.6
1963,FAM13C,C3orf17,-0.643639649,>0.6
546,BCL2L11,H2AFX,-0.64365164,>0.6
1453,CUBN,PIK3R4,-0.643754313,>0.6
2504,HS6ST2,ASXL3,-0.643794821,>0.6
518,BCL11B,TNFAIP8L1,-0.643856991,>0.6
564,BCL2L11,NDUFB4,-0.644063212,>0.6
2512,HS6ST2,TLN2,-0.644068398,>0.6
2176,FUT10,ZNF225,-0.64408082,>0.6
6157,ZYG11A,ZBED4,-0.644150196,>0.6
3884,PEX16,KIF20B,-0.644196578,>0.6
1235,CIITA,RBM41,-0.644413528,>0.6
1150,CHRDL1,ERBB4,-0.644523475,>0.6
3847,PDE8A,POLR2A,-0.644739704,>0.6
2559,IGSF9,ADCY9,-0.644848142,>0.6
5872,ZDHHC21,MPHOSPH6,-0.645290545,>0.6
2695,KCNB2,RTN3,-0.645597374,>0.6
1938,EYA2,CACNB4,-0.645603937,>0.6
4381,RIMBP3,USP1,-0.645660264,>0.6
3434,MYT1,ZNF280D,-0.645699206,>0.6
3734,PARD6A,FYN,-0.645784113,>0.6
1783,ENTHD1,UQCRQ,-0.64587821,>0.6
2580,IGSF9,PPP4R4,-0.645887257,>0.6
4929,SLC29A1,EPHA8,-0.645901616,>0.6
1429,CTF1,TOP3B,-0.645905429,>0.6
4655,SCNM1,HERPUD1,-0.646006187,>0.6
2390,GYPC,CORO6,-0.646010653,>0.6
3630,NTRK1,NCAPD3,-0.646141228,>0.6
3637,NTRK3,AMOT,-0.646143638,>0.6
2238,GLIPR1,GTF2H2C,-0.646418538,>0.6
1204,CHRDL1,ZNF256,-0.64648623,>0.6
3198,MIER2,NR6A1,-0.646539046,>0.6
1767,ENTHD1,CABIN1,-0.646942839,>0.6
5967,ZNF302,NCBP1,-0.646973128,>0.6
5177,STOX2,IDI2,-0.647008532,>0.6
150,ADCY9,PCDHGA12,-0.647194542,>0.6
778,C2orf72,AGAP2,-0.647257929,>0.6
4554,RRAD,COQ7,-0.647322948,>0.6
4885,SLC25A46,PDE4B,-0.647433444,>0.6
1387,CRIM1,EHMT1,-0.647719612,>0.6
2663,JHDM1D,BTBD9,-0.647765977,>0.6
2951,LINGO4,RPL27A,-0.648063791,>0.6
4239,RAD51C,ACADL,-0.64816529,>0.6
5985,ZNF394,ALDOB,-0.648314272,>0.6
4844,SLC25A14,ZNF765,-0.648362291,>0.6
3904,PGBD5,COMMD6,-0.648438551,>0.6
2399,GYPC,ZNF609,-0.648492085,>0.6
4288,RBL1,KLHL11,-0.648523659,>0.6
4874,SLC25A46,HABP2,-0.648530611,>0.6
1393,CRIM1,NSD1,-0.648684778,>0.6
587,BCL2L11,SURF4,-0.648866496,>0.6
2326,GRAMD3,PKDREJ,-0.649016716,>0.6
2813,KL,THOC6,-0.649079599,>0.6
3632,NTRK1,PDDC1,-0.649090731,>0.6
2240,GLIPR1,MLLT10,-0.649606909,>0.6
5101,SPRED2,KIAA1430,-0.649823652,>0.6
1052,CDNF,BAZ2A,-0.649981163,>0.6
3204,MIER2,ZNF470,-0.650316704,>0.6
3360,MTMR8,SENP2,-0.650411517,>0.6
1238,CIITA,SP1,-0.650477363,>0.6
4242,RAD51C,IFT52,-0.650541805,>0.6
520,BCL2L11,ARL4A,-0.650572958,>0.6
6041,ZNF57,EIF3A,-0.650920151,>0.6
2029,FANCB,RNF41,-0.651111272,>0.6
858,CACNA1I,IGF1,-0.65132522,>0.6
2802,KL,PCBP3,-0.651386435,>0.6
2396,GYPC,PPP3CB,-0.651841465,>0.6
6148,ZYG11A,NFYA,-0.651873798,>0.6
1403,CRIM1,ZNF432,-0.651981942,>0.6
1879,ESCO2,WAPAL,-0.651982917,>0.6
1514,DDR2,EIF3K,-0.65198963,>0.6
2568,IGSF9,DHX33,-0.652301736,>0.6
1227,CIITA,GATAD2B,-0.652312281,>0.6
3363,MTMR8,ZNF251,-0.652411242,>0.6
1201,CHRDL1,VPS11,-0.652462208,>0.6
509,BCL11B,FAM178A,-0.652631573,>0.6
2945,LINGO4,PSMG2,-0.652687805,>0.6
1686,EDEM1,CHSY1,-0.652772787,>0.6
51,ABHD13,PGBD1,-0.652807161,>0.6
3219,MLH3,DDX3X,-0.652894458,>0.6
5500,TOPORS,SH3BP5L,-0.653027536,>0.6
4146,PRX,RYR3,-0.653166719,>0.6
5436,TMEM66,LRPPRC,-0.653260166,>0.6
582,BCL2L11,SERHL2,-0.65343421,>0.6
3003,LRRC14B,TPH1,-0.653512977,>0.6
191,AKAP6,LPP,-0.653558022,>0.6
4849,SLC25A23,RRAGB,-0.653612696,>0.6
653,BNIP3,MYO3A,-0.653778567,>0.6
831,C9orf117,SIK2,-0.653805541,>0.6
4931,SLC29A1,FAM178A,-0.653824454,>0.6
4740,SETDB2,NDST1,-0.654009551,>0.6
4321,RECK,NUP43,-0.654035021,>0.6
397,ATP10A,DPM1,-0.654072067,>0.6
5119,SRP19,CABP7,-0.65408996,>0.6
2291,GPR113,TMEM132C,-0.654163932,>0.6
5010,SNAPC5,PDS5B,-0.654282815,>0.6
2169,FUT10,DEPDC5,-0.654396007,>0.6
3612,NT5C1B,GDE1,-0.654766163,>0.6
819,C9orf117,ARL5B,-0.655005854,>0.6
1449,CUBN,KIAA0232,-0.655023818,>0.6
339,ARMC2,MYL5,-0.655029843,>0.6
1803,EPHX4,MRPS35,-0.655039259,>0.6
