"","rn","ERBB2_cor"
"1","WBP2",-0.515278361990717
"2","TBCB",-0.488817755602119
"3","TRIM65",-0.479235453307414
"4","FN3K",-0.476688944359856
"5","SMAD4",-0.459617708551649
"6","GSTO1",-0.434706533989762
"7","SMC3",-0.432461410610666
"8","ABI2",-0.429139869122115
"9","MBD3",-0.427003418765973
"10","SPAG7",-0.425482397402927
