"","rn","ERBB2_cor"
"1","ASRGL1",0.557244200150923
"2","POR",0.583432619629398
"3","AKR1B10",0.610031957277621
"4","SPTLC2",0.616607731421261
"5","CCNK",0.661555694232036
"6","CDK12",0.747032236852826
"7","ERBB4",0.853240323230575
"8","MIEN1",0.860592344308155
"9","GRB7",0.921761831446822
"10","ERBB2",1
