"","rn","CCNB1_cor5"
"1","C5orf41",-0.552343856866303
"2","CALCOCO1",-0.544831759991533
"3","HBP1",-0.542848361362797
"4","PSD4",-0.536413415575297
"5","CX3CR1",-0.534449125242223
"6","LRCH1",-0.534331670842728
"7","CRY2",-0.531985107423871
"8","MAML3",-0.52567250245773
"9","ALS2CR8",-0.521167816556472
"10","H6PD",-0.510699010940758
