"","rn","CCNB1_cor6"
"1","NCAPG",0.71485572572726
"2","KIF11",0.717166629623066
"3","KIF2C",0.718114834133621
"4","SMC2",0.726353524262253
"5","CENPF",0.729514135367865
"6","NCAPD2",0.731435346030407
"7","RACGAP1",0.749806297055828
"8","NCAPH",0.765890880535601
"9","KIF22",0.773598699033944
"10","CCNB1",1
