"","rn","CCNB1_cor4"
"1","DBIL5P2",-0.501840182566477
"2","EHBP1",-0.501840182566477
"3","LOC100132215",-0.501840182566477
"4","OTX1",-0.501840182566477
"5","TMEM17",-0.501840182566477
"6","WDPCP",-0.501840182566477
"7","AKR1E2",-0.496680784112274
"8","tAKR",-0.496680784112274
"9","CCT4",-0.491706842975817
"10","COMMD1",-0.491706842975817
