"","rn","CENPF_cor9"
"1","GMPR2",-0.549071636979113
"2","DNPEP",-0.542618090936916
"3","RBKS",-0.526171448492033
"4","PPP1R7",-0.521452044504653
"5","GFAP",-0.507570933454328
"6","C11orf54",-0.493698315200723
"7","TBC1D13",-0.482531098389519
"8","PGPEP1",-0.481869868052694
"9","THYN1",-0.477309546965221
"10","TROVE2",-0.475000635009595
