"","rn","CENPF_cor8"
"1","FGFBP1",-0.404502528136104
"2","FGFBP2",-0.404502528136104
"3","PROM1",-0.397795010357263
"4","BST1",-0.379009898814817
"5","CD38",-0.379009898814817
"6","LRIG2",-0.339396501806239
"7","LGI2",-0.336778225209791
"8","AKR7A2P1",-0.336501186852193
"9","SLC16A1",-0.336501186852193
"10","DDX11L1",-0.335151780162599
