"","rn","CENPF_cor_rna","CENPF_cor_pro"
"9","CENPF",1,1
"8","KIF11",0.790379017094554,0.772254620224038
"7","TPX2",0.785640472688819,0.721547368502549
"6","KIFC1",0.77934477350042,0.8101837039877
"5","NCAPH",0.772618710387031,0.707810869447322
"4","ANLN",0.76924689330312,0.756340457783293
"3","UBE2T",0.760055008493142,0.705551910982199
"2","KIF4A",0.748460107484664,0.707315270157387
"1","KIF2C",0.733717669984685,0.742839775461454
