"","rn","CENPF_cor_cna","CENPF_cor_rna"
"8","CENPF",1,1
"7","DTL",0.998266942266201,0.777938047296074
"6","NEK2",0.99822212377367,0.861356403433753
"5","FAM72A",0.907281633374856,0.81742001112261
"4","UBE2T",0.887701999853333,0.760055008493142
"3","ASPM",0.862496543379224,0.913194741145072
"2","KIF14",0.853268257515148,0.886327760153463
"1","LIN9",0.757801634229459,0.743117034334565
