"","rn","CCNB1_cor_rna","CCNB1_cor_cna"
"6","CCNB1",1,1
"5","KIF20A",0.866321397983641,0.897756509092039
"4","PTTG1",0.843974800800592,0.872745051396048
"3","DEPDC1B",0.84063500987992,0.941182641050237
"2","CDC25C",0.832408509764754,0.897756509092039
"1","LMNB1",0.815689076080457,0.946855442565866
